Row Range,File Name,File Path,Whitespace Ratio,Statement Words,Tabs,Underscores,Empty Lines,Mean Line Length,Mean Comment Length,1,2,3,4,5,6,7,8,9,10,11,Written
0-39,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.17688551275094955,0.0016277807921866521,0.0,0.0,0.0,0.02447097124253934,0.7091698317959848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40-79,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.15272727272727274,0.0018181818181818182,0.0,0.0,0.0027272727272727275,0.02411363636363636,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80-119,AbstractCodepageDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\AbstractCodepageDetector.java,0.250206440957886,0.0016515276630883566,0.0,0.0008257638315441783,0.002477291494632535,0.024194880264244427,0.11023947151114781,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-39,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.18351477449455678,0.0015552099533437014,0.0,0.0,0.0,0.024494556765163298,0.7470191809227579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40-79,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.14101646385110952,0.0071581961345740875,0.0,0.0,0.0021474588403722263,0.024302075876879027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80-119,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.17813765182186234,0.003036437246963563,0.0,0.0,0.004048582995951417,0.024013157894736844,0.21727395411605938,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120-159,ASCIIDetector.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\ASCIIDetector.java,0.27007299270072993,0.014598540145985401,0.0,0.0,0.014598540145985401,0.0842733908427339,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-39,Base64Test.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\Base64Test.java,0.17543859649122806,0.0,0.0,0.0,0.008255933952528379,0.029302311036057165,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0-39,BCConvert.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BCConvert.java,0.2139240506329114,0.0,0.0,0.012658227848101266,0.01139240506329114,0.023765822784810126,0.26962025316455696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40-79,BCConvert.java,C:/Users/tipaek/OneDrive - Syracuse University/Desktop/Research/NestedBigramsResearch/Data/40authors\0opslab\master\BCConvert.java,0.3586337760910816,0.007590132827324478,0.0,0.007590132827324478,0.0018975332068311196,0.02407495256166983,0.9231499051233396,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
