Encoding Dim,AUC,F-1,Accuracy,Precision
5,0.7959854184080989,0.26865671641791045,0.7986301369863014,0.5094339622641509
11,0.8464869508683942,0.3981042654028436,0.826027397260274,0.6666666666666666
16,0.8507824835144423,0.3661971830985915,0.815068493150685,0.6
22,0.8714648927277794,0.4657534246575342,0.8397260273972603,0.7183098591549296
28,0.8688411349493824,0.3743842364532019,0.826027397260274,0.6909090909090909
33,0.872892867093898,0.4622641509433962,0.8438356164383561,0.765625
39,0.8744949846753971,0.41148325358851673,0.8315068493150685,0.7049180327868853
44,0.8637967864771989,0.4292237442922374,0.8287671232876712,0.6619718309859155
50,0.8764976316522709,0.4615384615384615,0.836986301369863,0.6986301369863014
56,0.8720976130769946,0.45132743362831856,0.8301369863013699,0.6538461538461539
