Encoding Dim,AUC,F-1,Accuracy,Precision
1338,0.5579444831360064,0.04477611940298507,0.7681159420289855,0.15789473684210525
2676,0.5982190826783405,0.04477611940298507,0.7681159420289855,0.15789473684210525
4014,0.602527111730176,0.045454545454545456,0.7717391304347826,0.17647058823529413
5352,0.6089742314197593,0.04580152671755725,0.7735507246376812,0.1875
6690,0.5989453785692965,0.045112781954887216,0.769927536231884,0.16666666666666666
8028,0.6091732165953636,0.044117647058823525,0.7644927536231884,0.14285714285714285
9366,0.6013332006765496,0.04477611940298507,0.7681159420289855,0.15789473684210525
10704,0.6330315391503332,0.045112781954887216,0.769927536231884,0.16666666666666666
12042,0.6283653367824097,0.044117647058823525,0.7644927536231884,0.14285714285714285
13381,0.6376479952243558,0.05925925925925926,0.769927536231884,0.2
