Row Range,File Name,File Path,Whitespace Ratio,Statement Words,Tabs,Underscores,Empty Lines,Mean Line Length,Mean Comment Length,1,2,3,4,5,Written
0-9,ILog.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ILog.java,0.12345679012345678,0.006172839506172839,0.037037037037037035,0.0,0.012345679012345678,0.09444444444444444,0.5,0.0,0.0,0.0,0.0,0.0,1
10-19,ILog.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ILog.java,0.16756756756756758,0.005405405405405406,0.043243243243243246,0.0,0.005405405405405406,0.09513513513513515,0.7567567567567568,0.0,0.0,0.0,0.0,0.0,1
20-29,ILog.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ILog.java,0.1746031746031746,0.0,0.047619047619047616,0.0,0.005291005291005291,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,1
30-39,ILog.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ILog.java,0.16853932584269662,0.0,0.05056179775280899,0.0,0.0056179775280898875,0.09494382022471909,0.4101123595505618,0.0,0.0,0.0,0.0,0.0,1
40-49,ILog.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ILog.java,0.17714285714285713,0.0,0.04,0.0,0.0,0.09485714285714286,0.7542857142857143,0.0,0.0,0.0,0.0,0.0,1
0-9,IMediainfoDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMediainfoDAO.java,0.09424083769633508,0.0,0.020942408376963352,0.0,0.015706806282722512,0.09528795811518324,0.0,0.0,0.0,0.0,0.0,0.0,1
10-19,IMediainfoDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMediainfoDAO.java,0.11538461538461539,0.0,0.05128205128205128,0.0,0.00641025641025641,0.09423076923076923,0.5448717948717948,0.0,0.0,0.0,0.0,0.0,1
20-29,IMediainfoDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMediainfoDAO.java,0.1411764705882353,0.0,0.052941176470588235,0.0,0.0058823529411764705,0.09470588235294118,0.4764705882352941,0.0,0.0,0.0,0.0,0.0,1
30-39,IMediainfoDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMediainfoDAO.java,0.12318840579710146,0.0,0.028985507246376812,0.0,0.0,0.16062801932367152,0.0,0.0,0.0,0.0,0.0,0.0,1
0-9,IMQFactory.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQFactory.java,0.14102564102564102,0.008547008547008548,0.02564102564102564,0.0,0.008547008547008548,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,1
10-19,IMQFactory.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQFactory.java,0.14285714285714285,0.00816326530612245,0.036734693877551024,0.0,0.004081632653061225,0.0963265306122449,0.7346938775510204,0.0,0.0,0.0,0.0,0.0,1
20-29,IMQFactory.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQFactory.java,0.13271604938271606,0.006172839506172839,0.027777777777777776,0.0,0.0030864197530864196,0.09722222222222222,0.5493827160493827,0.0,0.0,0.0,0.0,0.0,1
30-39,IMQFactory.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQFactory.java,0.11920529801324503,0.006622516556291391,0.039735099337748346,0.0,0.0,0.10522442972774099,0.6556291390728477,0.0,0.0,0.0,0.0,0.0,1
0-9,IMQListener.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQListener.java,0.08247422680412371,0.0,0.015463917525773196,0.0,0.015463917525773196,0.09536082474226804,0.0,0.0,0.0,0.0,0.0,0.0,1
10-19,IMQListener.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQListener.java,0.12807881773399016,0.0,0.04433497536945813,0.0,0.0049261083743842365,0.09556650246305418,0.458128078817734,0.0,0.0,0.0,0.0,0.0,1
20-29,IMQListener.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQListener.java,0.13812154696132597,0.0,0.04419889502762431,0.0,0.0055248618784530384,0.09502762430939227,0.46408839779005523,0.0,0.0,0.0,0.0,0.0,1
30-39,IMQListener.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQListener.java,0.125,0.0,0.05,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,1
0-9,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.11875,0.00625,0.025,0.0,0.01875,0.094375,0.0,0.0,0.0,0.0,0.0,0.0,1
10-19,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.1506276150627615,0.012552301255230125,0.03765690376569038,0.0,0.0041841004184100415,0.09623430962343096,0.5648535564853556,0.0,0.0,0.0,0.0,0.0,1
20-29,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.12184873949579832,0.004201680672268907,0.03361344537815126,0.0,0.004201680672268907,0.09621848739495797,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,1
30-39,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.16822429906542055,0.004672897196261682,0.04205607476635514,0.0,0.004672897196261682,0.09579439252336448,0.6355140186915887,0.0,0.0,0.0,0.0,0.0,1
40-49,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.1483050847457627,0.00423728813559322,0.038135593220338986,0.0,0.00423728813559322,0.0961864406779661,0.0,0.0,0.0,0.0,0.0,0.0,1
50-59,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.14457831325301204,0.012048192771084338,0.04819277108433735,0.0,0.006024096385542169,0.09457831325301204,0.6927710843373494,0.0,0.0,0.0,0.0,0.0,1
60-69,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.13333333333333333,0.008333333333333333,0.05,0.0,0.0,0.11770833333333333,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,1
0-9,InnerWorkerPool.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\InnerWorkerPool.java,0.06349206349206349,0.0,0.005291005291005291,0.005291005291005291,0.007936507936507936,0.09761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,1
10-19,InnerWorkerPool.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\InnerWorkerPool.java,0.06593406593406594,0.0,0.029304029304029304,0.0,0.003663003663003663,0.10785510785510785,0.0,0.0,0.0,0.0,0.0,0.0,1
0-9,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.15406976744186046,0.0,0.0,0.0,0.0,0.09738372093023256,0.13662790697674418,0.0,0.0,0.0,0.0,0.0,1
10-19,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.06167400881057269,0.0,0.0,0.0,0.00881057268722467,0.0960352422907489,0.0,0.0,0.0,0.0,0.0,0.0,1
20-29,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.13740458015267176,0.0,0.022900763358778626,0.0,0.0,0.09312977099236641,0.6717557251908397,0.0,0.0,0.0,0.0,0.0,1
